id,common_code,product_name,product_type,rakuten_sku,is_active,created_at,updated_at,sequence_number,jan_ean_code,colorme_id,smaregi_id,yahoo_product_id,amazon_asin,mercari_product_id,remarks
19,PC01,エゾディア肉球クリーム,goods,,True,2025-07-31T07:00:02.927555+00:00,2025-07-31T07:00:02.927555+00:00,,,,,,,,
20,KE01,SIZUKA濃縮クマザサエキス,goods,,True,2025-07-31T07:00:03.044676+00:00,2025-07-31T07:00:03.044676+00:00,,,,,,,,
21,WB01,ミニチュア木箱（エゾ鹿）,goods,,True,2025-07-31T07:00:03.192909+00:00,2025-07-31T07:00:03.192909+00:00,,,,,,,,
22,WB02,ミニチュア木箱（サーモン）,treat,,True,2025-07-31T07:00:03.309588+00:00,2025-07-31T07:00:03.309588+00:00,,,,,,,,
23,BAG01,トートバッグ（リボン付き）,goods,,True,2025-07-31T07:00:03.366822+00:00,2025-07-31T07:00:03.366822+00:00,,,,,,,,
24,BAG02,SIZUKAショルダーバック,goods,,True,2025-07-31T07:00:03.425525+00:00,2025-07-31T07:00:03.425525+00:00,,,,,,,,
25,BAG03,SIZUKA梨地袋,goods,,True,2025-07-31T07:00:03.520675+00:00,2025-07-31T07:00:03.520675+00:00,,,,,,,,
26,POCHI01,おやつ入ポチ袋,goods,,True,2025-07-31T07:00:03.626652+00:00,2025-07-31T07:00:03.626652+00:00,,,,,,,,
27,SET01,ハッピーセット,goods,,True,2025-07-31T07:00:03.691749+00:00,2025-07-31T07:00:03.691749+00:00,,,,,,,,
28,SET02,おさんぽセット,goods,,True,2025-07-31T07:00:03.945424+00:00,2025-07-31T07:00:03.945424+00:00,,,,,,,,
149,CM012,エゾ鹿角（M・透明袋）,単品,1868,True,2025-08-03T07:29:30.245416+00:00,2025-08-12T03:46:13.47177+00:00,12.0,4573265581134,88146056,10013,,,,
144,CM007,エゾ鹿薄切りスライス 20g,単品,1864,True,2025-08-03T07:29:29.571564+00:00,2025-08-12T03:46:12.802247+00:00,7.0,4573265581646,178859377,10063,1864,,,
146,CM009,エゾ鹿角（M）（楽天）,単品,1732,True,2025-08-03T07:29:29.79382+00:00,2025-08-12T03:46:13.105211+00:00,9.0,4573265581134,,10013,,,,
147,CM010,エゾ鹿角（L）（楽天）,単品,1733,True,2025-08-03T07:29:29.966851+00:00,2025-08-12T03:46:13.218931+00:00,10.0,4573265581141,,10014,,,,
151,CM014,エゾ鹿アキレス 30g/エゾ鹿アキレス（ショート）30g,単品,1736,True,2025-08-03T07:29:30.595388+00:00,2025-08-12T03:46:13.752802+00:00,14.0,4573265581639,91675281,10062,1736,,,
32,CM200,レギュラーチョイス4◆北海道産 無添加 国産 犬 猫  おやつ オヤツ ジャーキー シニア ドッグフード ペット 好き エゾ鹿  鹿肉 鮭 サーモン ささみ チキン 馬肉 カンガルー クッキー 硬い ギフト プレゼント 馬 豚 耳,単品,10000059,True,2025-08-03T06:37:37.495063+00:00,2025-08-03T06:37:37.495063+00:00,,,,,,,,
33,Â¥660,商品_Â¥660,単品,71898726,True,2025-08-03T06:53:06.661023+00:00,2025-08-03T06:53:05.956379+00:00,,,,,,,,
153,CM017,極上エゾ鹿ローススライスジャーキー 30g,単品,1738,True,2025-08-03T07:29:30.847037+00:00,2025-08-12T03:46:14.169478+00:00,17.0,4573265581059,87248093,10005,1738,,,
156,CM020,スライスサーモン 30g,単品,1715,True,2025-08-03T07:29:31.150962+00:00,2025-08-12T03:46:14.635786+00:00,20.0,4573265581158,85992352,10015,1715,B0B3LLSJ92,xvF8ZCXHbJNKMZy3jCpZJm,
158,CM022,フレークサーモン 30g,単品,1718,True,2025-08-03T07:29:31.412261+00:00,2025-08-12T03:46:14.919443+00:00,22.0,4573265581189,91588311,10018,1718,B0B3LXZRDQ,rbF5p8Az7NinfJGRrAAy4P,
40,"Â¥2,200","商品_Â¥2,200",単品,92069810,True,2025-08-03T06:53:07.650454+00:00,2025-08-03T06:53:07.598166+00:00,,,,,,,,
41,"Â¥2,750","商品_Â¥2,750",単品,88146056,True,2025-08-03T06:53:07.760586+00:00,2025-08-03T06:53:07.703266+00:00,,,,,,,,
42,"Â¥3,300","商品_Â¥3,300",単品,167434636,True,2025-08-03T06:53:07.889274+00:00,2025-08-03T06:53:07.8242+00:00,,,,,,,,
43,"Â¥1,430","商品_Â¥1,430",単品,91675281,True,2025-08-03T06:53:08.010036+00:00,2025-08-03T06:53:07.949834+00:00,,,,,,,,
46,"Â¥1,100","商品_Â¥1,100",単品,87248093,True,2025-08-03T06:53:08.327116+00:00,2025-08-03T06:53:08.281903+00:00,,,,,,,,
160,CM024,鶏ささみスライスジャーキー 30g,単品,1723,True,2025-08-03T07:29:31.646808+00:00,2025-08-12T03:46:15.169124+00:00,24.0,4573265581219,87421894,10021,1723,B0B3LTJTWY,uWaTRw96mGEKiWMJVbZRNX,
162,CM026,豚ハツスライスジャーキー 30g,単品,1725,True,2025-08-03T07:29:31.886829+00:00,2025-08-12T03:46:15.569098+00:00,26.0,4573265581240,87421955,10024,1725,B0B3M8W293,aej3RwTrBSEywKkXLGNjnR,
165,CM029,牛タン皮ふりかけ 30g,単品,1760,True,2025-08-03T07:29:32.233364+00:00,2025-08-12T03:46:15.955504+00:00,29.0,4573265581301,117981570,10030,1760,B0B3N8D2PP,6kXYZbAt4yFYC4ZkzJ87TM,
167,CM031,ころころ牛タン皮 30g,単品,1762,True,2025-08-03T07:29:32.446965+00:00,2025-08-12T03:46:16.242548+00:00,31.0,4573265581325,117981731,10032,1762,B0B3N8TMXC,qU6wRUoe6UdPve6sGY8uUi,
169,CM033,仔牛のテール 30g,単品,1720,True,2025-08-03T07:29:32.648569+00:00,2025-08-12T03:46:16.485579+00:00,33.0,4573265581288,87452330,10028,1720,B0B3LYP7JB,gton7z5FUwCrRUyjrW5KoQ,
172,CM036,馬肉スライスジャーキー 30g,単品,1768,True,2025-08-03T07:29:32.990626+00:00,2025-08-12T03:46:16.802267+00:00,36.0,4573265581363,122872845,10036,1768,,,
174,CM038,鮭カットジャーキー 70g,単品,1717,True,2025-08-03T07:29:33.177933+00:00,2025-08-12T03:46:17.052648+00:00,38.0,4573265584296,87712354,10077,1717,B0B3ND9M4Y,3TvqwsppPowuc92yANsRwE,
176,CM040,たらカットジャーキー 70g,単品,1728,True,2025-08-03T07:29:33.364438+00:00,2025-08-12T03:46:17.289102+00:00,40.0,4573265584302,,10078,1728,B0B3NB2LR1,aQEYUDysGyPdYshnCG7y2E,
30,CM101,ちび袋 フレークサーモン 10g,単品,,True,2025-08-03T06:29:24.881435+00:00,2025-08-12T03:46:25.735084+00:00,101.0,4573265581752,167439656,10088,,,,
31,CM104,ちび袋 豚レバースライスジャーキー 10g,単品,,True,2025-08-03T06:29:24.881435+00:00,2025-08-12T03:46:26.069198+00:00,104.0,4573265581813,167439822,10094,,,,
142,CM005,エゾ鹿ふりかけ 30g,単品,1705,True,2025-08-03T07:29:29.247772+00:00,2025-08-12T03:46:12.502508+00:00,5.0,4573265581042,87246001,10004,1705,B0B3M213DG,TS3aJBpRV7uMNgrRnUGNo7,
95,"Â¥3,240","商品_Â¥3,240",単品,178475562,True,2025-08-03T06:53:13.635013+00:00,2025-08-03T06:53:13.58805+00:00,,,,,,,,
96,Â¥550,商品_Â¥550,単品,108733455,True,2025-08-03T06:53:13.727874+00:00,2025-08-03T06:53:13.688184+00:00,,,,,,,,
107,"Â¥3,850","商品_Â¥3,850",単品,146615744,True,2025-08-03T06:53:14.868745+00:00,2025-08-03T06:53:14.821744+00:00,,,,,,,,
108,"Â¥1,650","商品_Â¥1,650",単品,165361634,True,2025-08-03T06:53:15.007376+00:00,2025-08-03T06:53:14.941362+00:00,,,,,,,,
109,"Â¥2,640","商品_Â¥2,640",単品,165361670,True,2025-08-03T06:53:15.112693+00:00,2025-08-03T06:53:15.053239+00:00,,,,,,,,
110,Â¥540,商品_Â¥540,単品,172229036,True,2025-08-03T06:53:15.218357+00:00,2025-08-03T06:53:15.176086+00:00,,,,,,,,
111,Â¥864,商品_Â¥864,単品,183927419,True,2025-08-03T06:53:15.337064+00:00,2025-08-03T06:53:15.267517+00:00,,,,,,,,
112,Â¥33,商品_Â¥33,単品,144340718,True,2025-08-03T06:53:15.440937+00:00,2025-08-03T06:53:15.391162+00:00,,,,,,,,
115,"Â¥3,960","商品_Â¥3,960",単品,166605349,True,2025-08-03T06:53:15.76897+00:00,2025-08-03T06:53:15.717696+00:00,,,,,,,,
116,Â¥330,商品_Â¥330,単品,167439431,True,2025-08-03T06:53:15.869305+00:00,2025-08-03T06:53:15.834277+00:00,,,,,,,,
171,CM035,牛鬼筋 30g,単品,1833,True,2025-08-03T07:29:32.872497+00:00,2025-08-12T03:46:16.703111+00:00,35.0,4573265581349,167433240,10034,1833,,,
178,CM042,ふわふわスモークサーモン 15g,単品,1753,True,2025-08-03T07:29:33.576262+00:00,2025-08-12T03:46:17.517479+00:00,42.0,4573265584012,136188927,10067,1753,B0B3NCS9QD,KvoHC6nyUQZb3rZ6Us8Fbf,
179,CM043,スモークサーモンチップ 30g,単品,1754,True,2025-08-03T07:29:33.714881+00:00,2025-08-12T03:46:17.68611+00:00,43.0,4573265584036,136189178,10068,1754,B0B3N8SD7M,5ngyrtHaVp853J3o2pGVQd,
180,CM044,ころころクッキー 30粒,単品,1759,True,2025-08-03T07:29:33.835479+00:00,2025-08-12T03:46:17.803432+00:00,44.0,4573265584265,161901870,10074,1759,,,
181,CM045,カンガルースライスジャーキー 30g,単品,1816,True,2025-08-03T07:29:33.946104+00:00,2025-08-12T03:46:17.972453+00:00,45.0,4573265581387,149519302,10038,1816,,,
182,CM046,カンガルーチップ 30g,単品,1817,True,2025-08-03T07:29:34.090247+00:00,2025-08-12T03:46:18.091328+00:00,46.0,4573265581394,149519319,10039,1817,,,
183,CM047,牛タン皮スライスジャーキー80g,単品,1785,True,2025-08-03T07:29:34.197406+00:00,2025-08-12T03:46:18.202078+00:00,47.0,4573265581295,87452543,10029,1785,,,
184,CM048,レトルト エゾ鹿ステーキ 100g,単品,1797,True,2025-08-03T07:29:34.347186+00:00,2025-08-12T03:46:18.352594+00:00,48.0,4573265581509,142080763,10049,1797,,,
185,CM049,レトルト エゾ鹿バーグ 100g,単品,1798,True,2025-08-03T07:29:34.476741+00:00,2025-08-12T03:46:18.486416+00:00,49.0,4573265581516,142089049,10050,1798,,,
186,CM050,レトルト エゾ鹿角切りレバー 100g,単品,1799,True,2025-08-03T07:29:34.580479+00:00,2025-08-12T03:46:18.602321+00:00,50.0,4573265581523,142089060,10051,1799,,,
188,CM052,レトルト 鮭白子 100g,単品,1801,True,2025-08-03T07:29:34.797993+00:00,2025-08-12T03:46:18.885654+00:00,52.0,4573265581547,142089097,10053,1801,,,
190,CM054,レトルト ほたて 80g,単品,1827,True,2025-08-03T07:29:35.085287+00:00,2025-08-12T03:46:19.368504+00:00,54.0,4573265581592,159387667,10058,1827,,,
192,CM056,レトルト 牛バーグ 100g,単品,1810,True,2025-08-03T07:29:35.327336+00:00,2025-08-12T03:46:19.618923+00:00,56.0,4573265581578,143987493,10080,1810,,,
194,CM058,コーンフレーク 20g,単品,1839,True,2025-08-03T07:29:35.544973+00:00,2025-08-12T03:46:19.86928+00:00,58.0,4573265584210,108735583,10069,1839,B0B3NDKW75,tkqMHRvmpgmuoR9vkbpxPj,
196,CM060,にんじんフレーク 20g,単品,1841,True,2025-08-03T07:29:35.753155+00:00,2025-08-12T03:46:20.068278+00:00,60.0,4573265584234,167424933,10071,1841,B0B3QYZ9NY,hEsqoVFCBs9Ufx2zNmnsFJ,
199,CM063,クマザサ鹿パウダー30g（犬）,単品,1844,True,2025-08-03T07:29:36.097378+00:00,2025-08-12T03:46:20.442579+00:00,63.0,4573265581608,167432774,10059,1844,,,
200,CM064,クマザサ鮭パウダー30g（犬）,単品,1845,True,2025-08-03T07:29:36.230178+00:00,2025-08-12T03:46:20.552699+00:00,64.0,4573265581615,167432989,10060,1845,,,
202,CM066,クマザサ鶏パウダー30g（犬）,単品,1862,True,2025-08-03T07:29:36.45235+00:00,2025-08-12T03:46:20.790852+00:00,66.0,4573265581677,171023884,10066,1862,,,
204,CM068,エゾ鹿チップ 10g（猫）,単品,1739,True,2025-08-03T07:29:36.688162+00:00,2025-08-12T03:46:21.035509+00:00,68.0,4573265581400,108733455,10040,1739,B0B3N8W5VF,EqVfAdQh8tgQjF2fDGZupA,
207,CM071,サーモンフレーク 20g（猫）,単品,1742,True,2025-08-03T07:29:36.983786+00:00,2025-08-12T03:46:21.368883+00:00,71.0,4573265581448,180497249,10044,1742,B0B3N9748P,VNQbx63wGMNw5VLewANkvJ,
209,CM073,チキンチップ 10g（猫）,単品,1744,True,2025-08-03T07:29:37.231957+00:00,2025-08-12T03:46:21.618509+00:00,73.0,4573265581455,108735769,10045,1744,B0B3N9TKSX,VTMndikEaNUM4U7DnnTicS,
211,CM075,クマザサ鹿ふりかけ30g（猫）,単品,1749,True,2025-08-03T07:29:37.434692+00:00,2025-08-12T03:46:21.853913+00:00,75.0,4573265581479,108734760,10047,1749,,,
213,CM077,クマザサ白子ふりかけ30g（猫）,単品,1847,True,2025-08-03T07:29:37.665725+00:00,2025-08-12T03:46:22.171796+00:00,77.0,4573265581493,167415559,10048,1847,,,
215,CM079,ソルトバブル プレミアム,単品,1812,True,2025-08-03T07:29:37.925949+00:00,2025-08-12T03:46:22.43886+00:00,79.0,4573265586047,146615744,10110,1812,,,
